Fragment.ID,New.Fragment.ID,Rack,Depth,Date,TimePoint,Status,Mass.g,Temp.C,Days,Length.mm,Width.mm,QC,Notes
3,,11,Shallow,20180127,Time0,Alive,6.819,29.6,NA,25,23,HP,
4,,11,Shallow,20180127,Time0,Alive,9.544,29.6,NA,34,24,HP,
7,,11,Shallow,20180127,Time0,Alive,9.405,29.6,NA,27,20,HP,
10,,11,Shallow,20180127,Time0,Alive,6.863,29.6,NA,28,16,HP,
14,,11,Shallow,20180127,Time0,Alive,20.04,29.6,NA,38,32,HP,
17,,11,Shallow,20180127,Time0,Alive,7.998,29.6,NA,31,24,HP,
18,,11,Shallow,20180127,Time0,Alive,7.665,29.6,NA,22,19,HP,
20,,11,Shallow,20180127,Time0,Alive,9.888,29.6,NA,21,23,HP,
21,,11,Shallow,20180127,Time0,Alive,6.45,29.6,NA,27,25,HP,
30,,11,Shallow,20180127,Time0,Alive,2.558,29.6,NA,22,17,HP,
31,,11,Shallow,20180127,Time0,Alive,6.412,29.6,NA,24,22,HP,
33,,11,Shallow,20180127,Time0,Alive,5.54,29.6,NA,24,23,HP,
36,,11,Shallow,20180127,Time0,Alive,9.06,29.6,NA,31,23,HP,
39,,11,Shallow,20180127,Time0,Alive,3.808,29.6,NA,25,18,HP,
41,,11,Shallow,20180127,Time0,Alive,4.534,29.6,NA,23,23,HP,
42,,11,Shallow,20180127,Time0,Alive,6.924,29.6,NA,22,32,HP,
43,,11,Shallow,20180127,Time0,Alive,9.155,29.6,NA,27,23,HP,
47,,11,Shallow,20180127,Time0,Alive,6.67,29.6,NA,26,14,HP,
52,,11,Shallow,20180127,Time0,Alive,5.146,29.6,NA,20,16,HP,
53,,11,Shallow,20180127,Time0,Alive,3.688,29.6,NA,21,14,HP,
57,,11,Shallow,20180127,Time0,Alive,2.313,29.6,NA,17,16,HP,
62,,11,Shallow,20180127,Time0,Alive,2.769,29.6,NA,23,17,HP,
72,,11,Shallow,20180127,Time0,Alive,5.338,29.6,NA,25,18,HP,
73,,11,Shallow,20180127,Time0,Alive,2.311,29.6,NA,15,13,HP,
74,,11,Shallow,20180127,Time0,Alive,4.827,29.6,NA,19,26,HP,
77,,11,Shallow,20180127,Time0,Alive,13.527,29.6,NA,43,35,HP,
96,,11,Shallow,20180127,Time0,Alive,4.382,29.6,NA,19,23,HP,
99,,11,Shallow,20180127,Time0,Alive,5.412,29.6,NA,31,23,HP,
116,,11,Shallow,20180127,Time0,Alive,10.156,29.6,NA,25,32,HP,
121,,11,Shallow,20180127,Time0,Alive,8.183,29.6,NA,41,25,HP,
6,,58,Deep,20180127,Time0,Alive,8.296,29.6,NA,22,21,HP,
22,,58,Deep,20180127,Time0,Alive,13.758,29.6,NA,38,35,HP,
25,,58,Deep,20180127,Time0,Alive,7.187,29.6,NA,39,32,HP,
27,,58,Deep,20180127,Time0,Alive,6.306,29.6,NA,19,25,HP,
28,,58,Deep,20180127,Time0,Alive,7.172,29.6,NA,32,25,HP,
38,,58,Deep,20180127,Time0,Alive,19.916,29.6,NA,33,33,HP,
40,,58,Deep,20180127,Time0,Alive,11.873,29.6,NA,28,23,HP,
44,,58,Deep,20180127,Time0,Alive,9.028,29.6,NA,22,20,HP,
45,,58,Deep,20180127,Time0,Alive,7.611,29.6,NA,29,30,HP,
46,,58,Deep,20180127,Time0,Alive,6.457,29.6,NA,41,24,HP,
49,,58,Deep,20180127,Time0,Alive,11.067,29.6,NA,34,27,HP,
55,,58,Deep,20180127,Time0,Alive,6.401,29.6,NA,28,23,HP,
58,,58,Deep,20180127,Time0,Alive,4.734,29.6,NA,30,23,HP,
67,,58,Deep,20180127,Time0,Alive,9.461,29.6,NA,26,35,HP,
68,,58,Deep,20180127,Time0,Alive,6.821,29.6,NA,33,21,HP,
70,,58,Deep,20180127,Time0,Alive,9.06,29.6,NA,33,24,HP,
75,,58,Deep,20180127,Time0,Alive,6.961,29.6,NA,38,26,HP,
82,,58,Deep,20180127,Time0,Alive,10.544,29.6,NA,28,28,HP,
84,,58,Deep,20180127,Time0,Alive,27.539,29.6,NA,41,34,HP,
85,,58,Deep,20180127,Time0,Alive,14.076,29.6,NA,40,26,HP,
86,,58,Deep,20180127,Time0,Alive,9.062,29.6,NA,29,21,HP,
87,,58,Deep,20180127,Time0,Alive,8.867,29.6,NA,35,32,HP,
89,,58,Deep,20180127,Time0,Alive,4.372,29.6,NA,24,20,HP,
91,,58,Deep,20180127,Time0,Alive,6.184,29.6,NA,20,24,HP,
94,,58,Deep,20180127,Time0,Alive,6.311,29.6,NA,41,26,HP,
95,,58,Deep,20180127,Time0,Alive,13.711,29.6,NA,35,30,HP,
104,,58,Deep,20180127,Time0,Alive,4.156,29.6,NA,22,17,HP,
117,,58,Deep,20180127,Time0,Alive,7.646,29.6,NA,41,25,HP,
119,,58,Deep,20180127,Time0,Alive,10.827,29.6,NA,37,30,HP,
120,,58,Deep,20180127,Time0,Alive,23.209,29.6,NA,49,29,HP,
2,,92,Shallow,20180127,Time0,Alive,5.929,29.6,NA,34,28,HP,
5,,92,Shallow,20180127,Time0,Alive,12.156,29.6,NA,29,24,HP,
12,,92,Shallow,20180127,Time0,Alive,6.674,29.6,NA,24,22,HP,
13,,92,Shallow,20180127,Time0,Alive,11.548,29.6,NA,31,25,HP,
15,,92,Shallow,20180127,Time0,Alive,3.812,29.6,NA,25,23,HP,
19,,92,Shallow,20180127,Time0,Alive,8.903,29.6,NA,28,23,HP,
24,,92,Shallow,20180127,Time0,Alive,12.223,29.6,NA,38,23,HP,
26,,92,Shallow,20180127,Time0,Alive,16.838,29.6,NA,39,29,HP,
29,,92,Shallow,20180127,Time0,Alive,3.792,29.6,NA,21,25,HP,
35,,92,Shallow,20180127,Time0,Alive,9.847,29.6,NA,29,20,HP,
48,,92,Shallow,20180127,Time0,Alive,8.946,29.6,NA,19,36,HP,
56,,92,Shallow,20180127,Time0,Alive,6.076,29.6,NA,26,23,HP,
59,,92,Shallow,20180127,Time0,Alive,2.425,29.6,NA,19,18,HP,
63,,92,Shallow,20180127,Time0,Alive,5.949,29.6,NA,20,28,HP,
65,,92,Shallow,20180127,Time0,Alive,5.834,29.6,NA,32,23,HP,
66,,92,Shallow,20180127,Time0,Alive,11.057,29.6,NA,32,24,HP,
71,,92,Shallow,20180127,Time0,Alive,17.795,29.6,NA,46,31,HP,
76,,92,Shallow,20180127,Time0,Alive,8.512,29.6,NA,36,30,HP,
79,,92,Shallow,20180127,Time0,Alive,13.606,29.6,NA,26,31,HP,
81,,92,Shallow,20180127,Time0,Alive,8.966,29.6,NA,28,25,HP,
83,,92,Shallow,20180127,Time0,Alive,5.899,29.6,NA,25,22,HP,
90,,92,Shallow,20180127,Time0,Alive,8.135,29.6,NA,44,35,HP,
92,,92,Shallow,20180127,Time0,Alive,8.513,29.6,NA,37,24,HP,
93,,92,Shallow,20180127,Time0,Alive,14.132,29.6,NA,38,26,HP,
97,,92,Shallow,20180127,Time0,Alive,11.223,29.6,NA,36,25,HP,
98,,92,Shallow,20180127,Time0,Alive,11.412,29.6,NA,23,25,HP,
100,,92,Shallow,20180127,Time0,Alive,6.827,29.6,NA,20,24,HP,
105,,92,Shallow,20180127,Time0,Alive,6.071,29.6,NA,25,30,HP,
107,,92,Shallow,20180127,Time0,Alive,6.062,29.6,NA,22,25,HP,
113,,92,Shallow,20180127,Time0,Alive,3.611,29.6,NA,20,22,HP,
1,,100,Deep,20180127,Time0,Alive,3.512,29.6,NA,21,18,HP,
8,,100,Deep,20180127,Time0,Alive,20.033,29.6,NA,47,36,HP,
9,,100,Deep,20180127,Time0,Alive,20.035,29.6,NA,33,35,HP,
11,,100,Deep,20180127,Time0,Alive,6.202,29.6,NA,35,18,HP,
16,,100,Deep,20180127,Time0,Alive,7.641,29.6,NA,29,31,HP,
23,,100,Deep,20180127,Time0,Alive,13.51,29.6,NA,35,29,HP,
32,,100,Deep,20180127,Time0,Alive,11.388,29.6,NA,41,27,HP,
34,,100,Deep,20180127,Time0,Alive,15.446,29.6,NA,48,32,HP,
50,,100,Deep,20180127,Time0,Alive,10.144,29.6,NA,28,26,HP,
51,,100,Deep,20180127,Time0,Alive,4.992,29.6,NA,22,23,HP,
54,,100,Deep,20180127,Time0,Alive,3.304,29.6,NA,19,17,HP,
60,,100,Deep,20180127,Time0,Alive,2.955,29.6,NA,15,30,HP,
64,,100,Deep,20180127,Time0,Alive,4.329,29.6,NA,21,28,HP,
69,,100,Deep,20180127,Time0,Alive,4.229,29.6,NA,28,15,HP,
78,,100,Deep,20180127,Time0,Alive,2.504,29.6,NA,21,11,HP,
80,,100,Deep,20180127,Time0,Alive,15.453,29.6,NA,34,27,HP,
88,,100,Deep,20180127,Time0,Alive,5.352,29.6,NA,34,30,HP,
102,,100,Deep,20180127,Time0,Alive,12.694,29.6,NA,39,28,HP,
103,,100,Deep,20180127,Time0,Alive,13.537,29.6,NA,34,27,HP,
106,,100,Deep,20180127,Time0,Alive,7.432,29.6,NA,17,28,HP,
108,,100,Deep,20180127,Time0,Alive,15.561,29.6,NA,34,28,HP,
109,,100,Deep,20180127,Time0,Alive,19.873,29.6,NA,33,29,HP,
110,,100,Deep,20180127,Time0,Alive,6.568,29.6,NA,18,23,HP,
112,,100,Deep,20180127,Time0,Alive,3.049,29.6,NA,30,23,HP,
114,,100,Deep,20180127,Time0,Alive,9.8,29.6,NA,28,34,HP,
118,,100,Deep,20180127,Time0,Alive,13.915,29.6,NA,38,31,HP,
125,,100,Deep,20180127,Time0,Alive,14.32,29.6,NA,33,27,HP,
3,,11,Shallow,20180317,Time1,Alive,7.587,28.8,47,26.305,29.24,HP,
4,,11,Shallow,20180317,Time1,Alive,10.75,28.8,47,31.564,26.642,HP,
7,,11,Shallow,20180317,Time1,Alive,10.15,28.8,47,32.904,27.276,HP,
10,,11,Shallow,20180317,Time1,Dead_Time1,NA,NA,NA,NA,NA,HP,
14,,11,Shallow,20180317,Time1,Alive,21.583,28.8,47,40.138,38.97,HP,
17,,11,Shallow,20180317,Time1,Alive,8.576,28.8,47,35.07,26.133,HP,
18,,11,Shallow,20180317,Time1,Alive,8.852,28.8,47,26.348,30.062,HP,
20,,11,Shallow,20180317,Time1,Alive,10.941,28.8,47,27.626,32.205,HP,
21,,11,Shallow,20180317,Time1,Alive,7.539,28.8,47,28.666,24.747,HP,
30,,11,Shallow,20180317,Time1,Alive,2.79,28.8,47,24.491,19.456,HP,
31,,11,Shallow,20180317,Time1,Alive,7.065,28.8,47,25.879,29.798,HP,
33,,11,Shallow,20180317,Time1,Alive,6.586,28.8,47,25.084,29.071,HP,
36,,11,Shallow,20180317,Time1,Alive,10.157,28.8,47,42.393,28.568,HP,
39,,11,Shallow,20180317,Time1,Alive,4.302,28.8,47,28.315,21.663,HP,
41,,11,Shallow,20180317,Time1,Alive,4.191,28.8,47,25.155,22.844,HP,
42,,11,Shallow,20180317,Time1,Fixed_Time1,8.022,28.8,47,31.651,26.343,HP,
43,,11,Shallow,20180317,Time1,Alive,9.987,28.8,47,32.938,29.288,HP,
47,,11,Shallow,20180317,Time1,Alive,7.631,28.8,47,19.044,32.763,HP,
52,,11,Shallow,20180317,Time1,Alive,5.802,28.8,47,27.86,21.297,HP,
53,,11,Shallow,20180317,Time1,Alive,4.265,28.8,47,26.848,22.119,HP,
57,,11,Shallow,20180317,Time1,Alive,2.696,28.8,47,19.757,17.198,HP,
62,,11,Shallow,20180317,Time1,Alive,3.14,28.8,47,20.82,25.727,HP,
72,,11,Shallow,20180317,Time1,Alive,6.035,28.8,47,38.519,26.856,HP,
73,,11,Shallow,20180317,Time1,Alive,2.744,28.8,47,23.709,17.902,HP,
74,,11,Shallow,20180317,Time1,Alive,5.59,28.8,47,29.136,23.364,HP,
77,,11,Shallow,20180317,Time1,Fixed_Time1,15.058,28.8,47,47.535,45.509,HP,
96,,11,Shallow,20180317,Time1,Alive,5.377,28.8,47,28.672,21.249,HP,
99,,11,Shallow,20180317,Time1,Alive,6.054,28.8,47,36.693,27.12,HP,
116,,11,Shallow,20180317,Time1,Dead_Time1,NA,NA,NA,NA,NA,HP,
121,,11,Shallow,20180317,Time1,Alive,9.405,28.8,47,42.346,27.255,HP,
6,,58,Deep,20180317,Time1,Alive,9.149,28.8,47,27.171,27.182,HP,
22,,58,Deep,20180317,Time1,Alive,15.646,28.2,47,43.847,44.255,HP,
25,,58,Deep,20180317,Time1,Alive,8.194,28.8,47,35.294,44.905,HP,
27,,58,Deep,20180317,Time1,Alive,6.878,29.1,47,30.872,25.575,HP,
28,,58,Deep,20180317,Time1,Alive,8.136,29.1,47,34.639,28.605,HP,
38,,58,Deep,20180317,Time1,Alive,21.427,29,47,35.851,38.517,HP,
40,,58,Deep,20180317,Time1,Alive,13.164,28.9,47,32.851,36.09,HP,
44,,58,Deep,20180317,Time1,Alive,10.025,29,47,28.126,24.631,HP,
45,,58,Deep,20180317,Time1,Alive,8.805,29.1,47,36.197,42.078,HP,
46,,58,Deep,20180317,Time1,Alive,7.238,29,47,34.249,33.774,HP,
49,,58,Deep,20180317,Time1,Alive,12.613,29.1,47,39.284,33.429,HP,
55,,58,Deep,20180317,Time1,Alive,7.461,28.8,47,33.527,30.264,HP,
58,,58,Deep,20180317,Time1,Alive,5.214,28.8,47,26.886,28.11,HP,
67,,58,Deep,20180317,Time1,Alive,11.209,28.9,47,39.514,29.539,HP,
68,,58,Deep,20180317,Time1,Fixed_Time1,7.749,29,47,39.549,31.846,HP,
70,,58,Deep,20180317,Time1,Alive,10.201,28.8,47,36.001,40.968,HP,
75,,58,Deep,20180317,Time1,Fixed_Time1,7.849,29,47,39.517,29.588,HP,
82,,58,Deep,20180317,Time1,Alive,12.511,29,47,32.051,34.027,HP,
84,,58,Deep,20180317,Time1,Alive,29.515,29,47,46.741,48.617,HP,
85,,58,Deep,20180317,Time1,Alive,15.983,28.9,47,44.045,31.495,HP,
86,,58,Deep,20180317,Time1,Alive,10.106,28.9,47,34.895,25.92,HP,
87,,58,Deep,20180317,Time1,Alive,10.228,29.1,47,40.887,37.918,HP,
89,,58,Deep,20180317,Time1,Alive,4.897,28.9,47,29.469,21.728,HP,
91,,58,Deep,20180317,Time1,Alive,7.134,28.8,47,29.175,26.875,HP,
94,,58,Deep,20180317,Time1,Fixed_Time1,7.045,29,47,42.593,33.18,HP,
95,,58,Deep,20180317,Time1,Alive,15.224,28.8,47,45.329,37.517,HP,
104,,58,Deep,20180317,Time1,Alive,4.526,28.9,47,23.047,20.482,HP,
117,,58,Deep,20180317,Time1,Alive,8.574,28.9,47,41.417,28.871,HP,
119,,58,Deep,20180317,Time1,Alive,12.095,28.9,47,32.359,37.152,HP,
120,,58,Deep,20180317,Time1,Alive,26.019,28.8,47,44.158,NA,HP,
2,,92,Shallow,20180317,Time1,Dead_Time1,NA,NA,NA,NA,NA,HP,
5,,92,Shallow,20180317,Time1,Alive,13.937,28.8,47,39.632,32.093,HP,
12,,92,Shallow,20180317,Time1,Alive,7.36,28.8,47,27.991,22.844,HP,
13,,92,Shallow,20180317,Time1,Alive,13.146,28.8,47,39.143,30.706,HP,
15,,92,Shallow,20180317,Time1,Alive,3.998,28.8,47,17.516,9.896,HP,
19,,92,Shallow,20180317,Time1,Fixed_Time1,9.843,28.8,47,34.888,29.144,HP,
24,,92,Shallow,20180317,Time1,Alive,13.679,28.8,47,39.974,31.484,HP,
26,,92,Shallow,20180317,Time1,Alive,18.845,28.8,47,44.172,34.09,HP,
29,,92,Shallow,20180317,Time1,Alive,4.254,28.8,47,21.931,25.948,HP,
35,,92,Shallow,20180317,Time1,Fixed_Time1,10.465,28.8,47,34.101,24.708,HP,
48,,92,Shallow,20180317,Time1,Alive,10.085,28.8,47,41.647,20.779,HP,
56,,92,Shallow,20180317,Time1,Alive,7.124,28.8,47,31.314,26.548,HP,
59,,92,Shallow,20180317,Time1,Alive,2.762,28.8,47,22.74,21.933,HP,
63,,92,Shallow,20180317,Time1,Alive,6.675,28.8,47,33.429,21.98,HP,
65,,92,Shallow,20180317,Time1,Alive,6.59,28.8,47,35.36,25.892,HP,
66,,92,Shallow,20180317,Time1,Alive,12.588,28.8,47,43.388,29.624,HP,
71,,92,Shallow,20180317,Time1,Alive,20.33,28.8,47,54.564,34.766,HP,
76,,92,Shallow,20180317,Time1,Alive,9.463,28.8,47,37.895,35.625,HP,
79,,92,Shallow,20180317,Time1,Alive,15.18,28.8,47,40.83,29.733,HP,
81,,92,Shallow,20180317,Time1,Alive,9.858,28.8,47,35.265,26.193,HP,
83,,92,Shallow,20180317,Time1,Alive,6.677,28.8,47,24.199,27.314,HP,
90,,92,Shallow,20180317,Time1,Alive,8.935,28.8,47,27.493,27.192,HP,
92,,92,Shallow,20180317,Time1,Alive,9.343,28.8,47,41.234,26.856,HP,
93,,92,Shallow,20180317,Time1,Alive,15.646,28.8,47,44.128,33.677,HP,
97,,92,Shallow,20180317,Time1,Alive,11.968,28.8,47,40.262,28.741,HP,
98,,92,Shallow,20180317,Time1,Alive,12.272,28.8,47,29.635,44.244,HP,
100,,92,Shallow,20180317,Time1,Alive,7.408,28.8,47,25.579,NA,HP,
105,,92,Shallow,20180317,Time1,Alive,6.566,28.8,47,28.736,31.518,HP,
107,,92,Shallow,20180317,Time1,Fixed_Time1,6.417,28.8,47,28.38,23.785,HP,
113,,92,Shallow,20180317,Time1,Alive,4.253,28.8,47,25.715,20.479,HP,
1,,100,Deep,20180317,Time1,Alive,3.937,28.9,47,24.25,19.24,HP,
8,,100,Deep,20180317,Time1,Alive,22.748,29,47,52.155,45.354,HP,
9,,100,Deep,20180317,Time1,Alive,21.791,28.9,47,38.758,43.598,HP,
11,,100,Deep,20180317,Time1,Alive,7.57,29,47,37.908,22.43,HP,
16,,100,Deep,20180317,Time1,Alive,8.517,29,47,36.497,23.605,HP,
23,,100,Deep,20180317,Time1,Alive,15.183,28.9,47,37.608,40.244,HP,
32,,100,Deep,20180317,Time1,Alive,13.752,28.9,47,38.314,47.631,HP,
34,,100,Deep,20180317,Time1,Alive,17.171,29,47,33.142,42.505,HP,
50,,100,Deep,20180317,Time1,Fixed_Time1,11.747,28.9,47,34.175,34.245,HP,
51,,100,Deep,20180317,Time1,Alive,5.718,29,47,26.427,26.708,HP,
54,,100,Deep,20180317,Time1,Alive,3.989,28.9,47,23.043,25.022,HP,
60,,100,Deep,20180317,Time1,Alive,3.218,28.9,47,20.688,16.818,HP,
64,,100,Deep,20180317,Time1,Alive,5.31,29,47,29.629,30.151,HP,
69,,100,Deep,20180317,Time1,Alive,4.793,28.9,47,29.09,20.851,HP,
78,,100,Deep,20180317,Time1,Alive,2.785,29,47,22.603,13.935,HP,
80,,100,Deep,20180317,Time1,Fixed_Time1,17.52,28.9,47,42.109,34.925,HP,
88,,100,Deep,20180317,Time1,Alive,6.3218,28.9,47,39.811,31.575,HP,
102,,100,Deep,20180317,Time1,Alive,13.875,28.9,47,32.685,31.385,HP,
103,,100,Deep,20180317,Time1,Alive,14.982,28.9,47,41.446,30.189,HP,
106,,100,Deep,20180317,Time1,Alive,7.976,29,47,31.562,20.219,HP,
108,,100,Deep,20180317,Time1,Alive,19.048,28.9,47,39.984,41.706,HP,
109,,100,Deep,20180317,Time1,Alive,22.303,28.9,47,43.825,39.167,HP,
110,,100,Deep,20180317,Time1,Alive,7.155,29,47,26.359,22.657,HP,
112,,100,Deep,20180317,Time1,Alive,3.647,28.9,47,30.71,25.527,HP,
114,,100,Deep,20180317,Time1,Alive,10.823,28.9,47,35.053,32.097,HP,
118,,100,Deep,20180317,Time1,Alive,15.767,29,47,44.391,37.884,HP,
125,,100,Deep,20180317,Time1,Alive,16.048,28.9,47,33.206,35.576,HP,
3,,11,Shallow,20180507,Time2,Alive,8.102,28.8,99,22,24,HP,
4,,11,Shallow,20180507,Time2,Alive,11.791,28.8,99,23,30,HP,
7,,11,Shallow,20180507,Time2,Alive,10.672,28.8,99,30,23,HP,
10,,11,Shallow,20180507,Time2,Dead_Time1,NA,NA,NA,NA,NA,HP,
14,,11,Shallow,20180507,Time2,Alive,22.624,28.8,99,23,38,HP,
17,,11,Shallow,20180507,Time2,Alive,8.859,28.8,99,27,32,HP,
18,,11,Shallow,20180507,Time2,Alive,10.072,28.8,99,28,26,HP,
20,,11,Shallow,20180507,Time2,Fixed_Time2,11.932,28.8,99,NA,NA,HP,came off base
21,,11,Shallow,20180507,Time2,Alive,8.775,28.8,99,25,28,HP,
30,,11,Shallow,20180507,Time2,Alive,2.98,28.8,99,23,20,HP,
31,,11,Shallow,20180507,Time2,Alive,7.907,28.8,99,22,22.5,HP,
33,,11,Shallow,20180507,Time2,Alive,7.387,28.8,99,27,25,HP,
36,,11,Shallow,20180507,Time2,Alive,11.129,28.8,99,23,31,HP,
39,,11,Shallow,20180507,Time2,Alive,4.692,28.8,99,19,24,HP,
41,,11,Shallow,20180507,Time2,Alive,5.331,28.8,99,22,25,HP,
42,,11,Shallow,20180507,Time2,Fixed_Time1,NA,NA,NA,NA,NA,HP,
43,,11,Shallow,20180507,Time2,Alive,10.399,28.8,99,27,26,HP,
47,,11,Shallow,20180507,Time2,Alive,8.075,28.8,99,27,15,HP,
52,,11,Shallow,20180507,Time2,Alive,NA,28.8,99,22,19,HP,
53,,11,Shallow,20180507,Time2,Alive,4.841,28.8,99,25,21,HP,
57,,11,Shallow,20180507,Time2,Alive,3.007,28.8,99,18,17,HP,
62,,11,Shallow,20180507,Time2,Dead_Time2,NA,NA,NA,NA,NA,HP,
72,,11,Shallow,20180507,Time2,Alive,6.378,28.8,99,27,23,HP,
73,,11,Shallow,20180507,Time2,Alive,3.074,28.8,99,15,21,HP,
74,,11,Shallow,20180507,Time2,Alive,6.592,28.8,99,21,26,HP,
77,,11,Shallow,20180507,Time2,Fixed_Time1,NA,NA,NA,NA,NA,HP,
96,,11,Shallow,20180507,Time2,Alive,5.829,28.8,99,21,24,HP,
99,,11,Shallow,20180507,Time2,Alive,6.583,28.8,99,24,33,HP,
116,,11,Shallow,20180507,Time2,Dead_Time1,NA,NA,NA,NA,NA,HP,
121,,11,Shallow,20180507,Time2,Alive,10.368,28.8,99,27.5,40,HP,
6,,58,Deep,20180507,Time2,Alive,9.373,28.8,99,21,21,HP,
22,,58,Deep,20180507,Time2,Alive,15.908,28.8,99,31,39,HP,
25,,58,Deep,20180507,Time2,Alive,8.358,28.8,99,31,42,HP,
27,,58,Deep,20180507,Time2,Alive,7.182,28.8,99,25,22,HP,
28,,58,Deep,20180507,Time2,Alive,8.396,28.8,99,27.5,28,HP,
38,,58,Deep,20180507,Time2,Alive,21.704,28.8,99,34,32,HP,
40,,58,Deep,20180507,Time2,Alive,13.363,28.8,99,27,25,HP,
44,,58,Deep,20180507,Time2,Alive,10.549,28.8,99,22,22,HP,
45,,58,Deep,20180507,Time2,Alive,8.927,28.8,99,20,18,HP,
46,,58,Deep,20180507,Time2,Alive,7.638,28.8,99,23,32,HP,
49,,58,Deep,20180507,Time2,Lost,NA,NA,NA,NA,NA,HP,
55,,58,Deep,20180507,Time2,Alive,7.939,28.8,99,31,24,HP,
58,,58,Deep,20180507,Time2,Dead_Time2,NA,28.8,99,26,22.5,HP,
67,,58,Deep,20180507,Time2,Alive,11.516,28.8,99,31,30,HP,
68,,58,Deep,20180507,Time2,Fixed_Time1,NA,NA,NA,NA,NA,HP,
70,,58,Deep,20180507,Time2,Alive,10.649,28.8,99,30,33,HP,
75,,58,Deep,20180507,Time2,Fixed_Time1,NA,NA,NA,NA,NA,HP,
82,,58,Deep,20180507,Time2,Alive,13.556,28.8,99,30,30,HP,
84,,58,Deep,20180507,Time2,Alive,29.95,28.8,99,39,34,HP,
85,,58,Deep,20180507,Time2,Alive,17.641,28.8,99,34,33.5,HP,
86,,58,Deep,20180507,Time2,Alive,10.526,28.8,99,22,31,HP,
87,,58,Deep,20180507,Time2,Dead_Time2,NA,28.8,99,37.5,38.8,HP,
89,,58,Deep,20180507,Time2,Alive,5.194,28.8,99,21,22.5,HP,
91,,58,Deep,20180507,Time2,Alive,7.445,28.8,99,23,25,HP,
94,,58,Deep,20180507,Time2,Fixed_Time1,NA,NA,NA,NA,NA,HP,
95,,58,Deep,20180507,Time2,Alive,15.572,28.8,99,39,30,HP,
104,,58,Deep,20180507,Time2,Dead_Time2,NA,28.8,99,21,21.5,HP,
117,,58,Deep,20180507,Time2,Alive,9.083,28.8,99,33,31,HP,
